date,year,team,opponent,goals_scored,goals_conceded,tournament,city,country,neutral,elo_rating,conti_code,conti_name,outcome,all_goals,venue,venue_code,opp_code,conti_code_cat
1930-07-13,1930.0,Belgium,United States,0.0,3.0,FIFA World Cup,Montevideo,Uruguay,True,1591.0,SA,South America,0,3.0,neutral,1,27,5
1930-07-13,1930.0,France,Mexico,4.0,1.0,FIFA World Cup,Montevideo,Uruguay,True,1567.0,SA,South America,1,5.0,neutral,1,15,5
1930-07-15,1930.0,Argentina,France,1.0,0.0,FIFA World Cup,Montevideo,Uruguay,True,2062.0,SA,South America,1,1.0,neutral,1,10,5
1930-07-19,1930.0,Argentina,Mexico,6.0,3.0,FIFA World Cup,Montevideo,Uruguay,True,2062.0,SA,South America,1,9.0,neutral,1,15,5
1930-07-26,1930.0,Argentina,United States,6.0,1.0,FIFA World Cup,Montevideo,Uruguay,True,2062.0,SA,South America,1,7.0,neutral,1,27,5
1930-07-30,1930.0,Uruguay,Argentina,4.0,2.0,FIFA World Cup,Montevideo,Uruguay,False,2038.0,SA,South America,1,6.0,home,0,0,5
1934-03-11,1934.0,Spain,Portugal,9.0,0.0,FIFA World Cup qualification,Madrid,Spain,False,1968.0,EU,Europe,1,9.0,home,0,18,2
1934-03-18,1934.0,Portugal,Spain,1.0,2.0,FIFA World Cup qualification,Lisbon,Portugal,False,1671.0,EU,Europe,0,3.0,home,0,24,2
1934-04-29,1934.0,Belgium,Netherlands,2.0,4.0,FIFA World Cup qualification,Antwerp,Belgium,False,1527.0,EU,Europe,0,6.0,home,0,16,2
1934-05-24,1934.0,Mexico,United States,2.0,4.0,FIFA World Cup qualification,Rome,Italy,True,1579.0,EU,Europe,0,6.0,neutral,1,27,2
1934-05-27,1934.0,Netherlands,Switzerland,2.0,3.0,FIFA World Cup,Milan,Italy,True,1686.0,EU,Europe,0,5.0,neutral,1,25,2
1934-05-27,1934.0,Brazil,Spain,1.0,3.0,FIFA World Cup,Genoa,Italy,True,1863.0,EU,Europe,0,4.0,neutral,1,24,2
1934-05-27,1934.0,Belgium,Germany,2.0,5.0,FIFA World Cup,Florence,Italy,True,1527.0,EU,Europe,0,7.0,neutral,1,11,2
1938-04-03,1938.0,Belgium,Netherlands,1.0,1.0,FIFA World Cup qualification,Antwerp,Belgium,False,1540.0,EU,Europe,2,2.0,home,0,16,2
